Bacillus.cereus	Salmonella.enterica	Enterococcus.faecalis	Listeria.monocytogenes	Staphylococcus.aureus	Staphylococcus.epidermidis
6917.051509769094	4101.953818827709	5105.861456483126	1641.740674955595	2399.467140319716	917.5843694493784
8945.648312611012	6026.64298401421	5321.669626998224	3088.454706927176	2763.943161634103	674.6003552397868
7286.32326820604	4701.420959147425	4162.6998223801065	2861.45648312611	2391.474245115453	805.6838365896981
8007.2824156305505	4484.014209591474	3945.2930728241563	2696.802841918295	3349.023090586146	618.6500888099467
6961.811722912967	3793.4280639431618	4001.2433392539965	3059.6802841918297	2429.840142095915	585.0799289520427
8699.467140319715	4207.460035523979	4734.991119005329	2589.6980461811722	3783.8365896980463	800.8880994671404
9236.589698046182	7153.641207815275	6312.788632326821	2934.9911190053285	3106.0390763765545	719.360568383659
7722.735346358792	4527.175843694494	4725.399644760213	3211.5452930728243	2003.0195381882772	537.1225577264654
7276.731793960924	2473.0017761989343	3996.447602131439	3267.4955595026645	2970.1598579040856	690.5861456483126
7019.3605683836595	3558.4369449378332	4285.790408525755	2116.51865008881	3486.5008880994674	557.9040852575489
10951.865008880995	3942.0959147424514	6311.190053285968	4229.840142095915	2094.138543516874	978.3303730017763
8622.735346358793	6122.557726465365	4880.461811722913	3755.0621669627	3598.4014209591473	695.3818827708703
6800.355239786856	3090.0532859680284	3363.410301953819	3238.721136767318	2647.246891651865	722.5577264653641
13383.303730017762	13061.989342806395	7153.641207815275	3157.1936056838367	3277.08703374778	1218.1172291296625
13479.218472468918	8419.715808170515	7906.571936056838	3683.126110124334	3596.802841918295	1237.3001776198935
13936.412078152754	11564.120781527532	7972.113676731794	4141.918294849023	3518.4724689165187	1146.1811722912967
14534.280639431618	10168.561278863233	6485.435168738899	4146.714031971581	3182.770870337478	1417.9396092362344
9604.262877442274	6395.914742451155	5439.964476021315	2715.9857904085256	3056.4831261101244	784.9023090586146
14393.60568383659	11492.184724689165	7220.781527531084	7215.985790408526	3313.854351687389	1203.7300177619893
12657.548845470694	8670.69271758437	6371.936056838366	6479.040852575488	2958.9698046181175	1326.8206039076376
12296.269982238011	8669.094138543518	5956.305506216697	5286.500888099467	2118.1172291296625	1039.0763765541742
8483.65896980462	5497.513321492007	4220.248667850799	3607.992895204263	1353.9964476021314	657.0159857904085
8274.245115452932	7494.138543516874	5476.731793960924	3377.7975133214923	1406.7495559502665	765.7193605683836
13447.246891651865	8790.586145648313	6525.399644760213	7044.9378330373	2097.335701598579	986.3232682060391
11353.108348134992	7535.701598579041	4549.55595026643	6130.550621669628	2038.1882770870338	860.0355239786857
13108.34813499112	8037.65541740675	6213.676731793961	5855.5950266429845	3911.7229129662524	1157.3712255772648
