sample	time	L_monocytogenes	S_enterica	B_cereus	S_aureus	S_epidermidis	E_faecalis	total_cfu	seq_id	Observed_Seq	Observed_QC	Observed_Pool	Observed_other	Available_Seq	Available_QC	Available_Pool	Available_other	Mean_Sample_Cov_Pool	seq_code	size_factor	seq_depth	lib_size_raw	lib_size
190616360839.1.1.1	T30	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	30644	30644
190616360840.1.1.1	T30	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	36647	36647
190616360841.1.1.1	T30	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	33642	33642
190616360842.1.1.1	T30	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	35822	35822
190616360771.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	0	0
190616360774.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	10	10
190616360776.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	26	26
190616360779.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	0	0
190616360781.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	0	0
190616360782.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	0	0
190616360769.1.1.2	T0	20	20	2	20	2	20	84	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	47	71.2121212121212
190616360772.1.1.2	T0	20	20	2	20	2	20	84	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	34	51.51515151515151
190616360775.1.1.2	T7	20	20	2	20	2	20	84	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	16	24.242424242424242
190616360776.1.1.2	T7	20	20	2	20	2	20	84	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	24	36.36363636363636
190616360778.1.1.2	T30	20	20	2	20	2	20	84	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	16	24.242424242424242
190616360783.1.1.2	T0	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	248	375.75757575757575
190616360784.1.1.2	T0	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	339	513.6363636363636
190616360785.1.1.2	T0	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	143	216.66666666666666
190616360786.1.1.2	T0	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	155	234.84848484848482
190616360787.1.1.2	T0	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	153	231.8181818181818
190616360788.1.1.2	T7	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	234	354.5454545454545
190616360789.1.1.2	T7	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	209	316.66666666666663
190616360790.1.1.2	T7	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	199	301.5151515151515
190616360791.1.1.2	T7	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	150	227.27272727272725
190616360792.1.1.2	T7	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	150	227.27272727272725
190616360793.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	224	339.3939393939394
190616360794.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	151	228.78787878787878
190616360795.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	272	412.12121212121207
190616360796.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	289	437.8787878787879
190616360797.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	227	343.9393939393939
190616360798.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	1467	2222.7272727272725
190616360799.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	2500	3787.8787878787875
190616360800.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	3802	5760.60606060606
190616360801.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	1578	2390.909090909091
190616360802.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	1667	2525.7575757575755
190616360803.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	2310	3500
190616360804.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	2520	3818.181818181818
190616360805.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	2005	3037.8787878787875
190616360806.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	3232	4896.969696969697
190616360807.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	3329	5043.939393939394
